N,T,time
20,1,0.000018
20,1,0.000008
20,1,0.000007
20,1,0.000007
20,1,0.000007
20,1,0.000007
20,1,0.000007
20,1,0.000007
20,1,0.000007
20,1,0.000007
20,1,0.000007
20,1,0.000007
20,1,0.000007
20,1,0.000006
20,1,0.000007
200,1,0.009131
200,1,0.009026
200,1,0.009029
200,1,0.009024
200,1,0.008961
200,1,0.008952
200,1,0.008946
200,1,0.008969
200,1,0.008937
200,1,0.009002
200,1,0.008996
200,1,0.008948
200,1,0.008951
200,1,0.009036
200,1,0.008962
1000,1,1.246596
1000,1,1.220103
1000,1,1.218973
1000,1,1.223137
1000,1,1.214635
1000,1,1.226906
1000,1,1.220627
1000,1,1.219534
1000,1,1.218337
1000,1,1.219164
1000,1,1.220240
1000,1,1.223029
1000,1,1.214176
1000,1,1.216692
1000,1,1.237418
20,2,0.000189
20,2,0.000016
20,2,0.000018
20,2,0.000017
20,2,0.000016
20,2,0.000019
20,2,0.000017
20,2,0.000018
20,2,0.000019
20,2,0.000019
20,2,0.000020
20,2,0.000019
20,2,0.000016
20,2,0.000019
20,2,0.000017
200,2,0.004658
200,2,0.004327
200,2,0.004341
200,2,0.004301
200,2,0.004318
200,2,0.004297
200,2,0.004298
200,2,0.004289
200,2,0.004283
200,2,0.004388
200,2,0.004286
200,2,0.004282
200,2,0.004280
200,2,0.004285
200,2,0.004357
1000,2,0.627314
1000,2,0.644365
1000,2,0.624693
1000,2,0.619673
1000,2,0.623097
1000,2,0.619566
1000,2,0.619599
1000,2,0.621101
1000,2,0.618223
1000,2,0.627537
1000,2,0.620580
1000,2,0.640556
1000,2,0.642509
1000,2,0.620282
1000,2,0.625193
20,4,0.000137
20,4,0.000010
20,4,0.000009
20,4,0.000013
20,4,0.000013
20,4,0.000015
20,4,0.000014
20,4,0.000014
20,4,0.000015
20,4,0.000013
20,4,0.000012
20,4,0.000016
20,4,0.000015
20,4,0.000013
20,4,0.000014
200,4,0.002354
200,4,0.002251
200,4,0.002252
200,4,0.002251
200,4,0.002339
200,4,0.002249
200,4,0.002253
200,4,0.002250
200,4,0.002265
200,4,0.002248
200,4,0.002261
200,4,0.002252
200,4,0.002263
200,4,0.002250
200,4,0.002250
1000,4,0.322623
1000,4,0.330428
1000,4,0.325174
1000,4,0.320234
1000,4,0.320464
1000,4,0.320433
1000,4,0.319615
1000,4,0.319773
1000,4,0.319635
1000,4,0.322739
1000,4,0.320379
1000,4,0.320307
1000,4,0.325455
1000,4,0.320324
1000,4,0.319942
20,8,0.000167
20,8,0.000018
20,8,0.000017
20,8,0.000023
20,8,0.000021
20,8,0.000019
20,8,0.000025
20,8,0.000014
20,8,0.000014
20,8,0.000019
20,8,0.000017
20,8,0.000022
20,8,0.000022
20,8,0.000025
20,8,0.000038
200,8,0.001258
200,8,0.001159
200,8,0.001164
200,8,0.001159
200,8,0.001159
200,8,0.001159
200,8,0.001159
200,8,0.001155
200,8,0.001159
200,8,0.001158
200,8,0.001158
200,8,0.001160
200,8,0.001158
200,8,0.001158
200,8,0.001158
1000,8,0.166241
1000,8,0.163998
1000,8,0.172392
1000,8,0.166856
1000,8,0.165390
1000,8,0.165377
1000,8,0.165352
1000,8,0.165380
1000,8,0.165348
1000,8,0.165355
1000,8,0.165340
1000,8,0.165309
1000,8,0.165285
1000,8,0.165247
1000,8,0.165237
20,16,0.000276
20,16,0.000090
20,16,0.000042
20,16,0.000067
20,16,0.000064
20,16,0.000066
20,16,0.000069
20,16,0.000072
20,16,0.000074
20,16,0.000067
20,16,0.000074
20,16,0.000077
20,16,0.000075
20,16,0.000073
20,16,0.000066
200,16,0.000642
200,16,0.000588
200,16,0.000582
200,16,0.000587
200,16,0.000580
200,16,0.000587
200,16,0.000581
200,16,0.000592
200,16,0.000586
200,16,0.000581
200,16,0.000587
200,16,0.000581
200,16,0.000592
200,16,0.000588
200,16,0.000581
1000,16,0.083941
1000,16,0.082774
1000,16,0.082779
1000,16,0.082792
1000,16,0.082780
1000,16,0.088134
1000,16,0.085268
1000,16,0.082779
1000,16,0.082767
1000,16,0.082755
1000,16,0.082751
1000,16,0.083180
1000,16,0.082762
1000,16,0.082752
1000,16,0.082795
20,32,0.000459
20,32,0.000068
20,32,0.000067
20,32,0.000049
20,32,0.000063
20,32,0.000071
20,32,0.000069
20,32,0.000067
20,32,0.000067
20,32,0.000067
20,32,0.000067
20,32,0.000067
20,32,0.000070
20,32,0.000068
20,32,0.000067
200,32,0.000377
200,32,0.000325
200,32,0.000322
200,32,0.000335
200,32,0.000323
200,32,0.000322
200,32,0.000335
200,32,0.000323
200,32,0.000322
200,32,0.000335
200,32,0.000323
200,32,0.000324
200,32,0.000333
200,32,0.000323
200,32,0.000322
1000,32,0.047595
1000,32,0.047037
1000,32,0.046791
1000,32,0.046476
1000,32,0.046436
1000,32,0.045655
1000,32,0.045905
1000,32,0.045723
1000,32,0.045565
1000,32,0.045581
1000,32,0.045607
1000,32,0.045899
1000,32,0.046016
1000,32,0.045642
1000,32,0.045563
