N,time
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
21,0.000016
21,0.000016
21,0.000049
21,0.000017
21,0.000015
21,0.000016
21,0.000015
21,0.000015
21,0.000016
21,0.000015
21,0.000015
21,0.000015
21,0.000015
21,0.000015
21,0.000015
41,0.000065
41,0.000065
41,0.000065
41,0.000065
41,0.000065
41,0.000065
41,0.000065
41,0.000065
41,0.000065
41,0.000066
41,0.000077
41,0.000063
41,0.000063
41,0.000063
41,0.000064
61,0.000219
61,0.000219
61,0.000219
61,0.000218
61,0.000219
61,0.000219
61,0.000218
61,0.000219
61,0.000219
61,0.000219
61,0.000219
61,0.000231
61,0.000217
61,0.000212
61,0.000212
81,0.000562
81,0.000542
81,0.000543
81,0.000526
81,0.000526
81,0.000527
81,0.000530
81,0.000559
81,0.000527
81,0.000527
81,0.000526
81,0.000526
81,0.000527
81,0.000531
81,0.000527
101,0.001080
101,0.001081
101,0.001095
101,0.001081
101,0.001081
101,0.001081
101,0.001085
101,0.001081
101,0.001081
101,0.001081
101,0.001086
101,0.001081
101,0.001081
101,0.001085
101,0.001081
121,0.001892
121,0.001894
121,0.001889
121,0.001895
121,0.001901
121,0.001947
121,0.001937
121,0.001954
121,0.001945
121,0.001946
121,0.001944
121,0.001946
121,0.001945
121,0.001955
121,0.001945
141,0.003153
141,0.003152
141,0.003210
141,0.003200
141,0.003202
141,0.003137
141,0.003199
141,0.003179
141,0.003151
141,0.003169
141,0.003234
141,0.003223
141,0.003130
141,0.003216
141,0.003248
161,0.004826
161,0.004775
161,0.004773
161,0.004826
161,0.004825
161,0.004825
161,0.004866
161,0.004862
161,0.004855
161,0.004812
161,0.004859
161,0.004827
161,0.004740
161,0.004907
161,0.004859
181,0.007005
181,0.007014
181,0.007034
181,0.007016
181,0.006956
181,0.006956
181,0.006914
181,0.006937
181,0.007000
181,0.006970
181,0.006955
181,0.006940
181,0.006927
181,0.006999
181,0.006957
201,0.010388
201,0.013205
201,0.013919
201,0.013897
201,0.013905
201,0.013927
201,0.013985
201,0.013921
201,0.014065
201,0.013772
201,0.010494
201,0.010917
201,0.010679
201,0.010160
201,0.009866
221,0.013091
221,0.013036
221,0.012972
221,0.012795
221,0.012968
221,0.012900
221,0.013192
221,0.012854
221,0.013126
221,0.012933
221,0.013099
221,0.012852
221,0.012809
221,0.013079
221,0.012794
241,0.016800
241,0.018195
241,0.021536
241,0.016934
241,0.016844
241,0.016946
241,0.016751
241,0.016793
241,0.016703
241,0.016671
241,0.016875
241,0.016782
241,0.016671
241,0.016653
241,0.016702
261,0.021404
261,0.021396
261,0.021440
261,0.021372
261,0.021349
261,0.021391
261,0.021564
261,0.021397
261,0.021448
261,0.021367
261,0.021384
261,0.021397
261,0.021584
261,0.021657
261,0.021444
281,0.026984
281,0.026708
281,0.026739
281,0.026764
281,0.026822
281,0.026770
281,0.027031
281,0.026905
281,0.027040
281,0.026851
281,0.026739
281,0.026840
281,0.026824
281,0.027334
281,0.026987
301,0.033368
301,0.033661
301,0.033157
301,0.033475
301,0.033236
301,0.033266
301,0.033006
301,0.033447
301,0.033167
301,0.033298
301,0.033513
301,0.033401
301,0.033461
301,0.033087
301,0.033332
321,0.040961
321,0.040415
321,0.042473
321,0.056159
321,0.060432
321,0.049362
321,0.041862
321,0.040787
321,0.040755
321,0.040810
321,0.040499
321,0.040738
321,0.041206
321,0.040855
321,0.044173
341,0.049109
341,0.048582
341,0.048931
341,0.048606
341,0.048320
341,0.048781
341,0.048520
341,0.049055
341,0.048648
341,0.048773
341,0.048733
341,0.048739
341,0.049211
341,0.048543
341,0.048649
361,0.058419
361,0.058043
361,0.057944
361,0.060113
361,0.058461
361,0.057886
361,0.058184
361,0.057712
361,0.057559
361,0.058026
361,0.058044
361,0.057925
361,0.060644
361,0.061836
361,0.068263
381,0.077905
381,0.069301
381,0.068385
381,0.068608
381,0.070246
381,0.068660
381,0.106801
381,0.094987
381,0.070101
381,0.069017
381,0.068520
381,0.069625
381,0.068239
381,0.069014
381,0.068061
401,0.080043
401,0.079795
401,0.080000
401,0.079839
401,0.079197
401,0.079430
401,0.079748
401,0.079926
401,0.079552
401,0.133649
401,0.097123
401,0.079993
401,0.080210
401,0.081498
401,0.080170
421,0.092737
421,0.092504
421,0.092257
421,0.092779
421,0.096930
421,0.094485
421,0.094145
421,0.092893
421,0.093239
421,0.093204
421,0.093368
421,0.092955
421,0.093394
421,0.093350
421,0.093314
