n,rounds,divvy,walltime
64,1000,1,2.153208
64,1000000,1,2.587077
64,1000000000,1,149.369626
32,1000000000,1,164.618104
32,1000000,1,2.121824
32,1000,1,14.090727
16,1000,1,0.940628
16,1000000,1,2.095373
16,1000000000,1,283.96766
8,1000000000,1,604.817775
8,1000000,1,1.136926
8,1000,1,0.794475
4,1000000000,1,1167.55187
4,1000000,1,1.772841
4,1000,1,0.380431
2,1000000000,1,2043.854222
2,1000000,1,18.223021
2,1000,1,0.538918
1,1000000000,1,4464.842125
1,1000000,1,5.268386
1,1000,1,0.232601
1,1000,0,0.627225
2,1000,0,0.555165
3,1000,0,0.71577
4,1000,0,0.606528
