m, sec
1, 8.6443741956226136e-07
1, 8.5275344085189883e-07
1, 8.5722901296083015e-07
1, 8.5367703295746443e-07
1, 8.5429603889829638e-07
1, 8.4976774612727855e-07
1, 8.4887192118443987e-07
1, 8.5343275581965671e-07
1, 8.5315150316628325e-07
1, 8.5264566901867407e-07
1, 8.5333481759779682e-07
1, 8.5307232270020625e-07
1, 8.5218357454704923e-07
1, 8.5376854806901077e-07
1, 8.6643034585165641e-07
1, 8.5849524673869471e-07
1, 8.5498760324899729e-07
1, 8.537721290951147e-07
1, 8.5301238314422753e-07
1, 8.5293689738762285e-07
1, 8.5337207732178357e-07
1, 8.5784813258503059e-07
1, 8.6229130493397357e-07
1, 8.5837369079705384e-07
1, 8.5251859943366669e-07
1, 8.5193421007850657e-07
1, 8.5225780978660173e-07
1, 8.5378329848605806e-07
1, 8.5911664003026276e-07
1, 8.5729438089764897e-07
1, 9.4195501058916319e-07
1, 8.8890020466217528e-07
1, 8.8791618984631537e-07
1, 8.8931941208307848e-07
1, 8.9638045661824643e-07
1, 8.9107479697424245e-07
1, 8.9908583657728236e-07
1, 8.9460369925382692e-07
1, 8.8727788615370079e-07
1, 8.8893428125184738e-07
1, 9.0037571649577007e-07
1, 8.9467975342727351e-07
1, 8.9886546136767662e-07
1, 8.9926483104079747e-07
1, 8.8783212099539801e-07
1, 8.8937227484937544e-07
1, 8.9100840588710821e-07
1, 8.854935972661261e-07
1, 8.8800602812817817e-07
1, 8.8688138698563153e-07
1, 8.9608843246571889e-07
1, 8.8884498296598441e-07
1, 8.8647386053082946e-07
1, 8.8624157698838583e-07
1, 8.9128758381900865e-07
1, 9.0292154184728385e-07
1, 8.9623292402693056e-07
1, 8.9918445689935243e-07
1, 8.9511007339743593e-07
1, 8.8694064444139986e-07
1, 8.970882492697837e-07
1, 8.9960787060488581e-07
1, 8.926094087640113e-07
1, 9.0497517505539412e-07
1, 9.0584473914013689e-07
1, 8.91548771357863e-07
1, 8.9451931777364649e-07
1, 8.9489128975498763e-07
1, 8.9318638027938462e-07
1, 9.0263147873286084e-07
1, 9.0340591825911117e-07
1, 9.0168114261488374e-07
1, 8.9961460634446233e-07
1, 9.0135956078657736e-07
1, 9.0114151608602348e-07
1, 8.9846640432381885e-07
1, 8.9835181148849126e-07
1, 8.9379805364295619e-07
1, 8.9460494977087911e-07
1, 8.9819026742202251e-07
1, 8.946613935632801e-07
1, 8.9941358572832346e-07
1, 8.9905045262887383e-07
1, 8.9640577958855323e-07
1, 8.886223909306953e-07
1, 8.9987727176710552e-07
1, 9.0383083826927557e-07
1, 8.9318862552591017e-07
1, 8.9949131673145358e-07
1, 9.0181702266094056e-07
1, 8.8976203827786818e-07
1, 8.9744458978797245e-07
1, 9.0317050842403724e-07
1, 8.9621101155767518e-07
1, 8.9798231212041242e-07
1, 8.9765766084115966e-07
1, 8.943099414299316e-07
1, 8.9304342344364614e-07
1, 9.006195957417884e-07
1, 9.1254870421522145e-07
2, 9.0303935672147705e-07
2, 9.7957662249033426e-07
2, 9.0152133218682609e-07
2, 9.0402928128415654e-07
2, 9.0094628241646386e-07
2, 8.9134226348802453e-07
2, 8.911264990392457e-07
2, 9.0260271222845319e-07
2, 8.9251794100608042e-07
2, 8.9771669331868682e-07
2, 9.004825821074182e-07
2, 9.0095213693127529e-07
2, 8.9283556264458835e-07
2, 9.0261908213394537e-07
2, 8.9642256134561115e-07
2, 8.9660456286431237e-07
2, 8.9428344668140131e-07
2, 8.9583074379010936e-07
2, 8.9569631730924489e-07
2, 8.8919649854970839e-07
2, 8.9053848976036893e-07
2, 8.912146009611654e-07
2, 8.911721983587447e-07
2, 8.9348046871304036e-07
2, 8.8927101572366757e-07
2, 9.0176375457197923e-07
2, 8.9946361233048002e-07
2, 8.9609641371465948e-07
2, 8.9311419207765301e-07
2, 8.9036041019819188e-07
2, 9.0020076963717451e-07
2, 9.0439777467757929e-07
2, 9.0498777335469306e-07
2, 8.914411650003731e-07
2, 8.9196073897990074e-07
2, 8.9050609098908233e-07
2, 8.9034818960902238e-07
2, 8.9597341206366965e-07
2, 8.9640630512001822e-07
