m, sec
1, 0.041461824439466
1, 0.030748344026505947
1, 0.030686843208968639
1, 0.030546514317393303
1, 0.00018899515271186829
1, 0.00054851919412612915
1, 9.083189070224762e-06
1, 8.2328915596008301e-07
1, 6.891787052154541e-07
1, 6.3888728618621826e-07
1, 5.1502138376235962e-07
1, 4.4144690036773682e-07
1, 4.898756742477417e-07
1, 4.5262277126312256e-07
1, 4.2188912630081177e-07
1, 5.4296106100082397e-07
1, 6.7520886659622192e-07
1, 4.5448541641235352e-07
1, 5.6996941566467285e-07
1, 4.9918889999389648e-07
1, 4.2840838432312012e-07
1, 5.2340328693389893e-07
1, 5.6624412536621094e-07
1, 5.5786222219467163e-07
1, 5.9418380260467529e-07
1, 4.0978193283081055e-07
1, 5.8300793170928955e-07
1, 4.8335641622543335e-07
1, 4.7124922275543213e-07
1, 4.0978193283081055e-07
1, 4.3958425521850586e-07
1, 4.6193599700927734e-07
1, 6.2771141529083252e-07
1, 5.2805989980697632e-07
1, 4.0791928768157959e-07
1, 3.7532299757003784e-07
1, 5.1409006118774414e-07
1, 4.7590583562850952e-07
1, 4.7218054533004761e-07
1, 4.7776848077774048e-07
1, 4.9173831939697266e-07
1, 5.4948031902313232e-07
1, 4.8615038394927979e-07
1, 4.0512531995773315e-07
1, 4.1909515857696533e-07
1, 4.0046870708465576e-07
1, 4.5169144868850708e-07
1, 4.8801302909851074e-07
1, 4.3865293264389038e-07
1, 4.9080699682235718e-07
1, 3.9488077163696289e-07
1, 5.1967799663543701e-07
1, 4.0791928768157959e-07
1, 4.293397068977356e-07
1, 4.116445779800415e-07
1, 3.8929283618927002e-07
1, 6.4261257648468018e-07
1, 4.5262277126312256e-07
1, 5.2060931921005249e-07
1, 7.9628080129623413e-07
1, 4.3306499719619751e-07
1, 4.4610351324081421e-07
1, 4.5355409383773804e-07
1, 4.1071325540542603e-07
1, 5.1409006118774414e-07
1, 4.1723251342773438e-07
1, 4.5262277126312256e-07
1, 7.8789889812469482e-07
1, 3.1291507184505463e-05
1, 4.898756742477417e-07
1, 4.5448541641235352e-07
1, 4.9266964197158813e-07
1, 4.3213367462158203e-07
1, 5.1967799663543701e-07
1, 4.163011908531189e-07
1, 3.9394944906234741e-07
1, 4.5914202928543091e-07
1, 4.0791928768157959e-07
1, 4.6659260988235474e-07
1, 4.1909515857696533e-07
1, 5.3923577070236206e-07
1, 4.9173831939697266e-07
1, 4.7590583562850952e-07
1, 4.4144690036773682e-07
1, 3.9953738451004028e-07
1, 4.507601261138916e-07
1, 4.7590583562850952e-07
1, 4.6100467443466187e-07
1, 4.3492764234542847e-07
1, 3.9488077163696289e-07
1, 4.7497451305389404e-07
1, 4.7869980335235596e-07
1, 4.3958425521850586e-07
1, 4.116445779800415e-07
1, 4.1816383600234985e-07
1, 4.6286731958389282e-07
1, 4.898756742477417e-07
1, 4.2840838432312012e-07
1, 4.2561441659927368e-07
1, 3.8743019104003906e-07
2, 0.00045305769890546799
2, 4.9741938710212708e-06
2, 1.9166618585586548e-06
2, 6.2957406044006348e-07
2, 6.8265944719314575e-07
2, 4.8521906137466431e-07
2, 1.1753290891647339e-06
2, 5.2247196435928345e-07
2, 4.2002648115158081e-07
2, 4.76837158203125e-07
2, 1.2116506695747375e-06
2, 4.246830940246582e-07
2, 4.2282044887542725e-07
2, 4.5355409383773804e-07
2, 1.2898817658424377e-06
2, 5.9977173805236816e-07
2, 4.4237822294235229e-07
2, 4.246830940246582e-07
2, 1.0747462511062622e-06
2, 5.8021396398544312e-07
2, 4.3585896492004395e-07
2, 4.3679028749465942e-07
2, 1.0905787348747253e-06
2, 4.5821070671081543e-07
2, 4.5355409383773804e-07
2, 4.6100467443466187e-07
2, 1.0207295417785645e-06
2, 4.1071325540542603e-07
2, 3.9488077163696289e-07
2, 4.6566128730773926e-07
2, 8.8289380073547363e-07
2, 3.2851472496986389e-05
2, 1.3362616300582886e-05
2, 5.6251883506774902e-07
2, 5.373731255531311e-07
2, 4.8615038394927979e-07
2, 1.3792887330055237e-06
2, 4.3213367462158203e-07
2, 4.0698796510696411e-07
2, 5.9511512517929077e-07
2, 1.1092051863670349e-06
2, 4.1443854570388794e-07
2, 5.1315873861312866e-07
2, 5.0477683544158936e-07
2, 2.6468187570571899e-06
2, 6.4820051193237305e-07
2, 4.8801302909851074e-07
2, 5.3923577070236206e-07
2, 1.0486692190170288e-06
2, 5.8207660913467407e-07
2, 4.5541673898696899e-07
2, 5.3364783525466919e-07
2, 1.1315569281578064e-06
2, 5.4389238357543945e-07
2, 5.6624412536621094e-07
2, 4.3027102947235107e-07
2, 1.8849968910217285e-06
2, 4.1723251342773438e-07
2, 4.6566128730773926e-07
2, 2.4707987904548645e-06
2, 6.4074993133544922e-07
2, 7.7299773693084717e-07
2, 5.764886736869812e-07
2, 5.4389238357543945e-07
2, 4.6007335186004639e-07
2, 6.50063157081604e-07
2, 4.4703483581542969e-07
2, 5.1222741603851318e-07
2, 7.4878334999084473e-07
2, 5.8114528656005859e-07
2, 5.2526593208312988e-07
2, 4.3027102947235107e-07
2, 4.1350722312927246e-07
2, 4.8894435167312622e-07
2, 4.5541673898696899e-07
2, 5.5134296417236328e-07
2, 5.1502138376235962e-07
2, 4.246830940246582e-07
2, 5.9511512517929077e-07
2, 5.8300793170928955e-07
2, 4.293397068977356e-07
2, 5.3178519010543823e-07
2, 4.5541673898696899e-07
2, 5.8207660913467407e-07
2, 5.550682544708252e-07
2, 5.6438148021697998e-07
2, 5.2619725465774536e-07
2, 5.7741999626159668e-07
2, 4.6193599700927734e-07
2, 4.7497451305389404e-07
2, 4.6007335186004639e-07
2, 4.1443854570388794e-07
2, 5.550682544708252e-07
2, 5.6438148021697998e-07
2, 5.3085386753082275e-07
2, 3.1062401831150055e-05
2, 4.8335641622543335e-07
2, 4.6193599700927734e-07
2, 4.7776848077774048e-07
2, 5.2526593208312988e-07
4, 4.073604941368103e-06
4, 5.6717544794082642e-07
4, 1.2051314115524292e-06
4, 6.1374157667160034e-07
4, 6.0442835092544556e-07
4, 5.4761767387390137e-07
4, 1.2097880244255066e-06
4, 4.3492764234542847e-07
4, 5.7741999626159668e-07
4, 5.420297384262085e-07
4, 1.039355993270874e-06
4, 4.2561441659927368e-07
4, 4.3120235204696655e-07
4, 4.5541673898696899e-07
4, 1.1548399925231934e-06
4, 5.2060931921005249e-07
4, 5.2619725465774536e-07
4, 6.1653554439544678e-07
4, 1.084059476852417e-06
4, 4.5355409383773804e-07
4, 4.116445779800415e-07
4, 4.4237822294235229e-07
4, 3.1059607863426208e-06
4, 4.6566128730773926e-07
4, 4.4610351324081421e-07
4, 4.9453228712081909e-07
4, 1.1762604117393494e-06
4, 4.7311186790466309e-07
4, 4.8335641622543335e-07
4, 4.116445779800415e-07
4, 9.8813325166702271e-07
4, 4.8708170652389526e-07
4, 4.3585896492004395e-07
4, 4.7311186790466309e-07
4, 1.0468065738677979e-06
4, 4.3306499719619751e-07
4, 5.1036477088928223e-07
4, 4.6566128730773926e-07
4, 1.0803341865539551e-06
4, 5.3551048040390015e-07
4, 4.8428773880004883e-07
4, 4.7497451305389404e-07
4, 9.927898645401001e-07
4, 4.6938657760620117e-07
4, 4.3306499719619751e-07
4, 4.0233135223388672e-07
4, 1.0933727025985718e-06
4, 4.6472996473312378e-07
4, 6.4726918935775757e-07
4, 4.9266964197158813e-07
4, 3.7439167499542236e-06
4, 4.4610351324081421e-07
4, 4.6472996473312378e-07
4, 5.6531280279159546e-07
4, 9.363517165184021e-06
4, 8.1583857536315918e-07
4, 7.6647847890853882e-07
4, 5.7183206081390381e-07
4, 6.7986547946929932e-07
4, 3.561750054359436e-05
4, 4.9918889999389648e-07
4, 4.7124922275543213e-07
4, 4.5914202928543091e-07
4, 6.2305480241775513e-07
4, 4.1536986827850342e-07
4, 5.3271651268005371e-07
4, 4.1257590055465698e-07
4, 4.6007335186004639e-07
4, 5.0850212574005127e-07
4, 5.2712857723236084e-07
4, 6.547197699546814e-07
4, 4.3585896492004395e-07
4, 5.5972486734390259e-07
4, 5.5320560932159424e-07
4, 4.4051557779312134e-07
4, 5.2992254495620728e-07
4, 5.3551048040390015e-07
4, 5.8114528656005859e-07
4, 6.5844506025314331e-07
4, 5.0570815801620483e-07
4, 5.4296106100082397e-07
4, 5.3364783525466919e-07
4, 4.7869980335235596e-07
4, 4.5914202928543091e-07
4, 4.2282044887542725e-07
4, 5.3085386753082275e-07
4, 3.986060619354248e-07
4, 4.6938657760620117e-07
4, 4.6286731958389282e-07
4, 3.7811696529388428e-07
4, 4.2654573917388916e-07
4, 5.5786222219467163e-07
4, 4.8801302909851074e-07
4, 5.159527063369751e-07
4, 5.4016709327697754e-07
4, 5.2154064178466797e-07
4, 4.2654573917388916e-07
4, 4.4051557779312134e-07
4, 2.3134052753448486e-06
4, 4.6566128730773926e-07
8, 3.3956021070480347e-06
8, 1.3355165719985962e-06
8, 7.4319541454315186e-07
8, 5.8393925428390503e-07
8, 5.550682544708252e-07
8, 1.1119991540908813e-06
8, 4.7497451305389404e-07
8, 7.0687383413314819e-07
8, 5.0757080316543579e-07
8, 8.9593231678009033e-07
8, 4.3027102947235107e-07
8, 5.504116415977478e-07
8, 5.9604644775390625e-07
8, 1.0589137673377991e-06
8, 5.3551048040390015e-07
8, 5.2340328693389893e-07
8, 5.4948031902313232e-07
8, 1.8347054719924927e-05
8, 9.2107802629470825e-07
8, 6.9197267293930054e-07
8, 7.1804970502853394e-07
8, 1.4817342162132263e-06
8, 4.4889748096466064e-07
8, 3.5697594285011292e-05
8, 5.504116415977478e-07
8, 1.3150274753570557e-06
8, 5.1874667406082153e-07
8, 4.6472996473312378e-07
8, 5.373731255531311e-07
8, 1.212581992149353e-06
8, 6.2491744756698608e-07
8, 5.6438148021697998e-07
8, 5.3457915782928467e-07
8, 1.0710209608078003e-06
8, 6.8545341491699219e-07
8, 5.3923577070236206e-07
8, 5.7835131883621216e-07
8, 1.3504177331924438e-06
8, 5.504116415977478e-07
8, 6.5285712480545044e-07
8, 2.4475157260894775e-06
8, 1.2693926692008972e-06
8, 5.6717544794082642e-07
8, 5.5227428674697876e-07
8, 5.2619725465774536e-07
8, 1.0849907994270325e-06
8, 6.8638473749160767e-07
8, 5.8580189943313599e-07
8, 4.5541673898696899e-07
8, 1.1920928955078125e-06
8, 5.4482370615005493e-07
8, 6.7893415689468384e-07
8, 4.9453228712081909e-07
8, 1.4491379261016846e-06
8, 7.5623393058776855e-07
8, 6.4074993133544922e-07
8, 5.6624412536621094e-07
8, 5.550682544708252e-07
8, 2.1364539861679077e-06
8, 5.504116415977478e-07
8, 5.2526593208312988e-07
8, 5.5227428674697876e-07
8, 6.7707151174545288e-07
8, 5.5320560932159424e-07
8, 4.3865293264389038e-07
8, 5.4761767387390137e-07
8, 8.1025063991546631e-07
8, 5.0477683544158936e-07
8, 4.637986421585083e-07
8, 6.3143670558929443e-07
8, 4.5169144868850708e-07
8, 4.7497451305389404e-07
8, 4.9732625484466553e-07
8, 5.1502138376235962e-07
8, 5.1874667406082153e-07
8, 7.0035457611083984e-07
8, 5.895271897315979e-07
8, 5.7369470596313477e-07
8, 4.4889748096466064e-07
8, 4.4796615839004517e-07
8, 4.6286731958389282e-07
8, 6.8638473749160767e-07
8, 4.507601261138916e-07
8, 4.5821070671081543e-07
8, 5.1502138376235962e-07
8, 5.5134296417236328e-07
8, 5.0570815801620483e-07
8, 3.1556002795696259e-05
8, 4.8428773880004883e-07
8, 5.4575502872467041e-07
8, 5.3271651268005371e-07
8, 4.377216100692749e-07
8, 4.3399631977081299e-07
8, 4.1536986827850342e-07
8, 4.1071325540542603e-07
8, 4.3120235204696655e-07
8, 5.5786222219467163e-07
8, 5.289912223815918e-07
8, 4.8521906137466431e-07
8, 6.1094760894775391e-07
16, 2.9616057872772217e-06
16, 1.1045485734939575e-06
16, 6.4447522163391113e-07
16, 4.8708170652389526e-07
16, 1.1920928955078125e-06
16, 6.5285712480545044e-07
16, 6.7520886659622192e-07
16, 5.2340328693389893e-07
16, 1.1185184121131897e-06
16, 5.1781535148620605e-07
16, 5.764886736869812e-07
16, 5.9511512517929077e-07
16, 1.0849907994270325e-06
16, 6.8452209234237671e-07
16, 5.6624412536621094e-07
16, 4.8615038394927979e-07
16, 1.1362135410308838e-06
16, 6.7064538598060608e-06
16, 6.3236802816390991e-07
16, 5.9604644775390625e-07
16, 1.1092051863670349e-06
16, 6.6217035055160522e-07
16, 7.1153044700622559e-07
16, 4.3492764234542847e-07
16, 1.1464580893516541e-06
16, 5.7555735111236572e-07
16, 5.6438148021697998e-07
16, 4.4144690036773682e-07
16, 1.0235235095024109e-06
16, 6.5565109252929688e-07
16, 5.7741999626159668e-07
16, 5.4109841585159302e-07
16, 1.0067597031593323e-06
16, 5.1315873861312866e-07
16, 6.3516199588775635e-07
16, 6.3981860876083374e-07
16, 1.0756775736808777e-06
16, 5.4016709327697754e-07
16, 6.2678009271621704e-07
16, 4.5541673898696899e-07
16, 1.0570511221885681e-06
16, 6.3981860876083374e-07
16, 5.4854899644851685e-07
16, 5.373731255531311e-07
16, 5.3085386753082275e-06
16, 7.5250864028930664e-07
16, 5.6996941566467285e-07
16, 4.7124922275543213e-07
16, 1.1552125215530396e-05
16, 8.0838799476623535e-07
16, 5.6438148021697998e-07
16, 3.1109899282455444e-05
16, 5.6624412536621094e-07
16, 6.1281025409698486e-07
16, 6.6496431827545166e-07
16, 4.9360096454620361e-07
16, 6.1281025409698486e-07
16, 5.2805989980697632e-07
16, 5.2340328693389893e-07
16, 4.2561441659927368e-07
16, 6.3050538301467896e-07
16, 6.0163438320159912e-07
16, 5.2526593208312988e-07
16, 5.2805989980697632e-07
16, 5.6531280279159546e-07
16, 5.8393925428390503e-07
16, 5.7276338338851929e-07
16, 4.4982880353927612e-07
16, 4.5169144868850708e-07
16, 4.3120235204696655e-07
16, 6.9476664066314697e-07
16, 5.1222741603851318e-07
16, 1.51805579662323e-06
16, 6.1839818954467773e-07
16, 6.1001628637313843e-07
16, 5.9418380260467529e-07
16, 4.5448541641235352e-07
16, 5.2805989980697632e-07
16, 4.3585896492004395e-07
16, 4.3958425521850586e-07
16, 5.5599957704544067e-07
16, 4.1443854570388794e-07
16, 5.3551048040390015e-07
16, 4.9546360969543457e-07
16, 4.6193599700927734e-07
16, 6.4074993133544922e-07
16, 4.6286731958389282e-07
16, 4.0978193283081055e-07
16, 5.7183206081390381e-07
16, 4.9080699682235718e-07
16, 5.6810677051544189e-07
16, 4.8056244850158691e-07
16, 4.4889748096466064e-07
16, 6.1001628637313843e-07
16, 6.0629099607467651e-07
16, 4.7031790018081665e-07
16, 5.5599957704544067e-07
16, 4.2561441659927368e-07
16, 6.0163438320159912e-07
16, 5.550682544708252e-07
32, 3.7830322980880737e-06
32, 6.8638473749160767e-07
32, 5.3085386753082275e-07
32, 1.276843249797821e-06
32, 4.9173831939697266e-07
32, 7.9162418842315674e-07
32, 4.4610351324081421e-07
32, 1.1902302503585815e-06
32, 8.2515180110931396e-07
32, 7.3201954364776611e-07
32, 6.5565109252929688e-07
32, 1.2898817658424377e-06
32, 5.2619725465774536e-07
32, 6.6682696342468262e-07
32, 6.0349702835083008e-07
32, 3.3458694815635681e-05
32, 5.4016709327697754e-07
32, 6.6962093114852905e-07
32, 5.5134296417236328e-07
32, 4.9741938710212708e-06
32, 5.9232115745544434e-07
32, 5.7276338338851929e-07
32, 5.4389238357543945e-07
32, 2.0489096641540527e-06
32, 7.152557373046875e-07
32, 5.5320560932159424e-07
32, 5.1129609346389771e-07
32, 1.1334195733070374e-06
32, 6.2491744756698608e-07
32, 5.8021396398544312e-07
32, 6.547197699546814e-07
32, 1.103617250919342e-06
32, 5.243346095085144e-07
32, 6.6030770540237427e-07
32, 4.8242509365081787e-07
32, 1.4565885066986084e-06
32, 5.1688402891159058e-07
32, 5.2060931921005249e-07
32, 4.5262277126312256e-07
32, 1.2451782822608948e-06
32, 6.5658241510391235e-07
32, 5.2712857723236084e-07
32, 4.9266964197158813e-07
32, 1.1920928955078125e-06
32, 5.6531280279159546e-07
32, 6.1653554439544678e-07
32, 4.2747706174850464e-07
32, 1.885928213596344e-06
32, 5.7928264141082764e-07
32, 6.7427754402160645e-07
32, 4.76837158203125e-07
32, 6.4820051193237305e-06
32, 5.5972486734390259e-07
32, 5.5227428674697876e-07
32, 4.898756742477417e-07
32, 2.1615996956825256e-06
32, 5.6996941566467285e-07
32, 5.3457915782928467e-07
32, 4.8615038394927979e-07
32, 5.9325248003005981e-07
32, 7.2456896305084229e-07
32, 5.6903809309005737e-07
32, 5.029141902923584e-07
32, 5.6717544794082642e-07
32, 5.9884041547775269e-07
32, 6.8172812461853027e-07
32, 4.507601261138916e-07
32, 7.80448317527771e-07
32, 5.9977173805236816e-07
32, 5.9325248003005981e-07
32, 5.2805989980697632e-07
32, 6.3981860876083374e-07
32, 6.631016731262207e-07
32, 6.1932951211929321e-07
32, 5.3457915782928467e-07
32, 5.4296106100082397e-07
32, 4.9546360969543457e-07
32, 5.8393925428390503e-07
32, 5.4482370615005493e-07
32, 2.7383677661418915e-05
32, 5.2805989980697632e-07
32, 6.2026083469390869e-07
32, 5.420297384262085e-07
32, 4.6193599700927734e-07
32, 5.0105154514312744e-07
32, 5.550682544708252e-07
32, 5.5320560932159424e-07
32, 7.4505805969238281e-07
32, 7.1711838245391846e-07
32, 5.6996941566467285e-07
32, 5.4575502872467041e-07
32, 5.2619725465774536e-07
32, 6.3236802816390991e-07
32, 6.0722231864929199e-07
32, 7.3015689849853516e-07
32, 5.1781535148620605e-07
32, 5.6903809309005737e-07
32, 6.6403299570083618e-07
32, 4.8242509365081787e-07
32, 6.4447522163391113e-07
64, 3.4570693969726562e-06
64, 6.1932951211929321e-07
64, 1.4062970876693726e-06
64, 6.5658241510391235e-07
64, 5.8673322200775146e-07
64, 4.2561441659927368e-07
64, 1.148320734500885e-06
64, 5.3178519010543823e-07
64, 5.9232115745544434e-07
64, 4.5355409383773804e-07
64, 1.1539086699485779e-06
64, 5.3551048040390015e-07
64, 6.2584877014160156e-07
64, 7.2456896305084229e-07
64, 1.1594966053962708e-06
64, 5.3457915782928467e-07
64, 4.9639493227005005e-07
64, 4.6286731958389282e-07
64, 1.1604279279708862e-06
64, 5.3830444812774658e-07
64, 5.2060931921005249e-07
64, 4.898756742477417e-07
64, 1.0756775736808777e-06
64, 6.8731606006622314e-07
64, 5.2992254495620728e-07
64, 1.4835968613624573e-06
64, 8.324161171913147e-06
64, 8.5216015577316284e-07
64, 7.757917046546936e-07
64, 4.8242509365081787e-07
64, 1.4817342162132263e-06
64, 5.2340328693389893e-07
64, 4.8615038394927979e-07
64, 4.8894435167312622e-07
64, 1.1865049600601196e-06
64, 5.3551048040390015e-07
64, 5.4482370615005493e-07
64, 5.7835131883621216e-07
64, 1.2107193470001221e-06
64, 6.2584877014160156e-07
64, 6.2305480241775513e-07
64, 5.1967799663543701e-07
64, 1.278705894947052e-06
64, 3.1808391213417053e-05
64, 2.3748725652694702e-06
64, 5.7928264141082764e-07
64, 1.364387571811676e-06
64, 5.9418380260467529e-07
64, 5.289912223815918e-07
